,Performer,Category,Subcategory,Followers
0,Selena Gomez,celebrities,musicians,105.4M
1,Taylor Swift,celebrities,musicians,95.2M
2,Ariana Grande,celebrities,musicians,92.3M
3,Beyonce,celebrities,musicians,90.6M
4,Kim Kardashian West,celebrities,tv,89.3M
5,Cristiano Ronaldo,celebrities,athletes,85.1M
6,Kylie Jenner,celebrities,models,81.8M
7,Justin Bieber,celebrities,musicians,77.9M
8,Dwayne Johnson,celebrities,athletes,73.3M
9,Kendall Jenner,celebrities,models,70.9M
10,Nicki Minaj,celebrities,musicians,70.8M
11,nike,fashion,sport,68.2M
12,National Geographic,media,,65.8M
13,Nj,celebrities,athletes,64M
14,Leo Messi,celebrities,athletes,61.9M
15,Khloe,celebrities,tv,60.2M
16,KATY PERRY,celebrities,musicians,59.6M
17,Miley Cyrus,celebrities,musicians,57.8M
18,Jennifer Lopez,celebrities,musicians,55.1M
19,Demi Lovato,celebrities,musicians,51.3M
20,Kourtney Kardashian,celebrities,tv,50.7M
21,Victoria's Secret,fashion,,49.1M
22,badgalriri,celebrities,musicians,47.3M
23,Kevin Hart,celebrities,actors,45.9M
24,FC Barcelona,sport,football,43.3M
25,Real Madrid C.F.,sport,football,41.8M
26,Justin Timberlake,celebrities,musicians,39.6M
27,Ellen,celebrities,tv,38.2M
28,Cara Delevingne,celebrities,models,36.2M
29,Zendaya,celebrities,musicians,36M
30,9gag,entertainment,,35M
31,David Beckham,celebrities,athletes,31.7M
32,champagnepapi,celebrities,musicians,31.1M
33,Vin Diesel,celebrities,actors,30.2M
34,Shakira,celebrities,musicians,28.4M
35,James RodrÕguez,celebrities,athletes,27.8M
36,Gigi Hadid,celebrities,models,27.2M
37,LeBron James,celebrities,athletes,27M
38,Gareth Bale,celebrities,athletes,25.3M
39,Nike Football (Soccer),fashion,sport,25M
40,Zac Efron,celebrities,actors,23.8M
41,Vanessa Hudgens,celebrities,actors,22.7M
42,IAmZlatan,celebrities,athletes,21.7M
43,Emma Watson,celebrities,actors,21.4M
44,"xoxo, Joanne",celebrities,musicians,20.4M
45,NBA,sport,basketball,20.1M
46,harrystyles,celebrities,musicians,19.4M
47,Scott Disick,celebrities,tv,18.7M
48,Luis Suarez,celebrities,athletes,18.7M
49,Niall Horan,celebrities,musicians,18.3M
50,NASA,other,,18.2M
51,H&M,fashion,retail,18.1M
52,Bruna Marquezine _,celebrities,models,17.7M
53,One Direction,celebrities,musicians,17.2M
54,CHANEL,fashion,luxury,17.1M
55,Shawn Mendes,celebrities,musicians,16.9M
56,Lucy Hale,celebrities,actors,16.6M
57,euanitta,celebrities,musicians,16.6M
58,Karim Benzema,celebrities,athletes,16.5M
59,Marina Ruy Barbosa,celebrities,actors,16.4M
60,adidas Originals,fashion,sport,16.3M
61,David Luiz,celebrities,athletes,15.4M
62,Andres Iniesta,celebrities,athletes,15.3M
63,Ashley Benson,celebrities,actors,15.2M
64,ZARA Official,fashion,retail,15.2M
65,Manchester United,sport,football,15.1M
66,Shay Mitchell,celebrities,actors,15M
67,Marcelo Vieira Jr.,celebrities,athletes,14.7M
68,BELLA,celebrities,media,14.6M
69,Ciara,celebrities,musicians,14.6M
70,Britney Spears,celebrities,musicians,14.5M
71,National Geographic Travel,media,,14.3M
72,Louis Vuitton Official,fashion,luxury,14.2M
73,snoopdogg,celebrities,musicians,14M
74,Floyd Mayweather,celebrities,athletes,14M
75,Vogue,media,,13.7M
76,Sergio Ramos,celebrities,athletes,13.7M
77,Tata Werneck,celebrities,tv,13.6M
78,Daddy Yankee,celebrities,musicians,13.3M
79,Victoria Beckham,celebrities,entrepreneurs,13.3M
80,Dior Official,fashion,luxury,13.1M
81,M‡A‡C Cosmetics,beauty,retail,13M
82,Channing Tatum,celebrities,actors,13M
83,Robert Downey Jr.,celebrities,tv,12.9Mæ
84,elliegoulding,celebrities,musicians,12.9Mæ
85,50 Cent,celebrities,musicians,12.9M
86,Starbucks Coffee,beverages,,12.6M
87,Anastasia Beverly Hills,beauty,,12.3M
88,Luan Santana,celebrities,musicians,12.2M
89,Chloe Grace Moretz,celebrities,actors,12.2M
90,adidas,fashion,sport,12.1M
91,forever21,fashion,,12.1M
92,Gucci,fashion,luxury,12M
93,Louis Tomlinson,celebrities,musicians,11.8M
94,G-DRAGON,celebrities,fashion,11.8M
95,DanialvesD2 My Twitter,celebrities,athletes,11.7M
96,Dolce & Gabbana,fashion,luxury,11.7M
97,Tyga / T-Raww,celebrities,musicians,11.6M
98,Paul Labile Pogba,celebrities,athletes,11.5M
99,Barack Obama,celebrities,political,11.5M
