,Performer,Song,Explicit Content,Track Popularity
0,"Tainy, Anuel AA & Ozuna",Adicto,False,91.0
1,Justin Moore,The Ones That Didn't Make It Back Home,,
2,Lady Gaga & Bradley Cooper,Shallow,False,88.0
3,Post Malone Featuring DaBaby,Enemies,True,86.0
4,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,True,61.0
5,Taylor Swift,The Archer,False,76.0
6,DaBaby,VIBEZ,True,88.0
7,NF,When I Grow Up,False,74.0
8,Post Malone,Hollywood's Bleeding,False,85.0
9,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town,False,57.0
10,NLE Choppa,Famous Hoes,True,80.0
11,Taylor Swift,Cornelia Street,False,74.0
12,Chris Brown Featuring Gunna,Heat,True,78.0
13,Nicky Jam X Ozuna,Te Robare,,
14,Ant Saunders,Yellow Hearts,False,89.0
15,BTS Featuring Lauv,Make It Right,False,84.0
16,NF,Time,False,79.0
17,Rod Wave & Kevin Gates,Cuban Links,True,71.0
18,Roddy Ricch Featuring Meek Mill,Peta,True,83.0
19,DaBaby,INTRO,True,80.0
20,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me,False,72.0
21,Tones And I,Dance Monkey,False,100.0
22,The Weeknd,Heartless,True,93.0
23,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",True,85.0
24,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL,True,71.0
25,Taylor Swift,Miss Americana & The Heartbreak Prince,False,74.0
26,Matt Stell,Prayed For You,False,74.0
27,Harry Styles,Golden,False,85.0
28,Young Thug Featuring Lil Baby,Bad Bad Bad,True,82.0
29,Young Thug Featuring Lil Baby,Bad Bad Bad,True,82.0
30,Harry Styles,Watermelon Sugar,False,91.0
31,Summer Walker,Drunk Dialing...LODT,,
32,Luke Combs,Better Together,False,75.0
33,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway,False,84.0
34,Dierks Bentley,Living,False,71.0
35,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody,True,83.0
36,NAV Featuring Meek Mill,Tap,True,79.0
37,Ellie Goulding & Juice WRLD,Hate Me,False,89.0
38,Taylor Swift,The Man,False,80.0
39,24kGoldn,Valentino,True,85.0
40,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),,
41,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,,
42,SHAED,Trampoline,False,91.0
43,Blake Shelton,God's Country,False,77.0
44,Halsey,Without Me,True,89.0
45,5 Seconds Of Summer,Easier,False,81.0
46,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,True,83.0
47,J Balvin & Bad Bunny,Que Pretendes,False,87.0
48,Harry Styles,Falling,False,89.0
49,Travis Scott,HIGHEST IN THE ROOM,True,95.0
50,Niall Horan,Nice To Meet Ya,False,88.0
51,Young Thug,Just How It Is,True,66.0
52,Mariah Carey,All I Want For Christmas Is You,False,95.0
53,Shawn Mendes & Camila Cabello,Senorita,False,94.0
54,Post Malone,Internet,True,76.0
55,Lil Baby & DaBaby,Baby,True,85.0
56,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,True,83.0
57,Drake,Omerta,True,68.0
58,Drake,Club Paradise,True,59.0
59,J Balvin & Bad Bunny,La Cancion,False,92.0
60,Bryce Vine Featuring YG,La La Land,True,73.0
61,Sam Smith,How Do You Sleep?,False,92.0
62,Taylor Swift,Afterglow,False,74.0
63,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",Costa Rica,True,77.0
64,The Ronettes,Sleigh Ride,False,84.0
65,Brenda Lee,Rockin' Around The Christmas Tree,False,90.0
66,YoungBoy Never Broke Again,Rich As Hell,True,71.0
67,Lana Del Rey,Doin' Time,True,79.0
68,Post Malone,Allergic,True,78.0
69,Juice WRLD,Lucid Dreams,True,93.0
70,Drake,The Motion,True,66.0
71,Dua Lipa,Don't Start Now,False,97.0
72,Kanye West,Jesus Is Lord,False,72.0
73,Chris Lane,I Don't Know About You,False,75.0
74,Blanco Brown,The Git Up,False,81.0
75,"French Montana Featuring Post Malone, Cardi B & Rvssian",Writing On The Wall,True,84.0
76,Post Malone,A Thousand Bad Times,True,80.0
77,A Boogie Wit da Hoodie,Look Back At It,True,82.0
78,NLE Choppa,Camelot,True,86.0
79,Halsey,Graveyard,False,89.0
80,Luke Combs,Beer Never Broke My Heart,False,79.0
81,DaBaby Featuring Kevin Gates,POP STAR,True,74.0
82,Florida Georgia Line,Talk You Out Of It,False,73.0
83,Kane Brown,Good As You,False,75.0
84,Megan Thee Stallion Featuring DaBaby,Cash Shit,True,81.0
85,Young Thug Featuring Future,Sup Mate,True,66.0
86,Trippie Redd,Love Me More,True,78.0
87,Chance The Rapper Featuring John Legend,All Day Long,False,67.0
88,DaBaby,BOP,True,92.0
89,Ali Gatie,It's You,False,89.0
90,Marshmello & Kane Brown,One Thing Right,False,86.0
91,Kanye West Featuring Fred Hammond,Hands On,False,73.0
92,Maren Morris,The Bones,False,80.0
93,Drake,Days In The East,True,60.0
94,XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes Forever,True,80.0
95,Wale Featuring Jeremih,On Chill,True,78.0
96,Lil Uzi Vert,Sanguine Paradise,True,83.0
97,YoungBoy Never Broke Again,Hot Now,True,78.0
98,"Tyler, The Creator",Earfquake,True,85.0
99,Old Dominion,One Man Band,False,81.0
100,Nicki Minaj,MEGATRON,True,75.0
101,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,True,76.0
102,Burl Ives,A Holly Jolly Christmas,False,80.0
103,Bad Bunny & Tainy,Callaita,True,91.0
104,Travis Scott,Sicko Mode,True,88.0
105,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember,False,66.0
106,Gene Autry,Rudolph The Red-Nosed Reindeer,,
107,Morgan Wallen,Whiskey Glasses,False,80.0
108,Keith Urban,We Were,False,73.0
109,blackbear,Hot Girl Bummer,True,95.0
110,DaBaby,XXL,True,71.0
111,Camila Cabello,Liar,False,89.0
